Detail Key | Single line text (primary key)
Opp No | Single line text
Close Period | Single line text
Close Date | Date only
Close Week | Whole number
Opp Name | Single line text
Customer | Single line text
Customer Number | Single line text
Org Market | Single line text
Org SubMarket | Single line text
PPV | Decimal
TCV | Decimal
SS Name | Single line text
Roadmap Status | Single line text
Deal Size | Single line text
Clip Level | Single line text
Client Unit | Single line text
Coverage Name | Single line text
Coverage Type ID | Single line text
Global Buying Group Name | Single line text
Global Buying Group ID | Single line text
Practices | Single line text
Service Type | Single line text
Level 20 | Single line text
Level 30 | Single line text
Level 30 Desc | Single line text
Managing Partner | Single line text
Client Sub Type | Single line text
LI Contract Type Desc | Single line text
Opp Create Date | Date only
Detail Create Date | Date only
Win/Loss Date | Date only
OI Role Level10 Desc | Single line text
OI Role Level20 Desc | Single line text
Contract Duration | Whole number
LIO | Single line text
LIO Emp ID | Single line text
Opp Owner User Name | Single line text
Opp Owner Emp ID | Single line text
OI Emp User Name | Single line text
Executive Sponsor | Single line text
Executive Sponsor Emp ID | Single line text
Executive Sponsor Internet ID | Single line text
Roll Over Count | Whole number
Competitor List | Single line text
Alliance Partner | Single line text
Total Opp Value | Decimal
LIO Internet ID | Single line text
Owner Internet ID | Single line text
Lead Solutioner Name | Single line text
Level20 Code | Single line text
Contract Booking Code | Single line text
LI Booking Type Desc | Single line text
Domestic Buying Group ID | Single line text
Domestic Buying Group Name | Single line text
OI Role Level00 Desc | Single line text
New Opp Indic | Single line text
Campaign Code | Single line text
LI Booking Type | Single line text
OI Internet ID | Single line text
IQR | Decimal
NQ Rev | Decimal
First 12 Months Revenue | Decimal
Contract Type | Single line text
Contract End Date | Date only
Consult TCV | Decimal
LI STC Comments | Single line text
Opp Tag | Single line text
Country | Single line text
Industry | Single line text
Growth Accelerator | Single line text
Growth Enabler | Single line text
Line Item Tag | Single line text
Archetype Assessment | Single line text
Line Item Name | Single line text
Hyperscaler Alliance | Single line text
Hyperscaler LI TCV | Decimal
Hyperscaler TCV | Decimal
Opp STC Comments | Single line text
GP | Decimal
Consuming Customer ID | Single line text
Consuming Customer | Single line text






































